host_since,diff_host_since,first_review
2008-09-07,2644.0,2015-12-04
2008-09-09,438.0,2009-11-21
2009-02-03,114.0,2009-05-28
2010-08-17,504.0,2012-01-03
2009-02-03,1794.0,2014-01-02
2010-08-17,,
2011-03-01,25.0,2011-03-26
2009-03-03,64.0,2009-05-06
2011-03-10,21.0,2011-03-31
2011-03-01,264.0,2011-11-20
2011-03-01,231.0,2011-10-18
2011-07-25,-204.0,2011-01-02
2009-02-05,214.0,2009-09-07
2009-03-10,44.0,2009-04-23
2010-08-23,35.0,2010-09-27
2009-09-03,630.0,2011-05-26
2011-03-12,1055.0,2014-01-30
2009-05-06,19.0,2009-05-25
2011-03-01,24.0,2011-03-25
2009-03-10,607.0,2010-11-07
2010-09-16,,
2009-05-07,4777.0,2022-06-05
2010-09-24,100.0,2011-01-02
2011-03-18,36.0,2011-04-23
2009-05-12,169.0,2009-10-28
2011-03-19,1748.0,2015-12-31
2009-05-15,459.0,2010-08-17
2011-03-20,15.0,2011-04-04
2010-08-17,62.0,2010-10-18
2010-08-17,431.0,2011-10-22
2009-05-17,244.0,2010-01-16
2010-08-17,271.0,2011-05-15
2011-03-01,222.0,2011-10-09
2009-06-12,58.0,2009-08-09
2010-08-22,352.0,2011-08-09
2010-10-05,,
2009-07-10,46.0,2009-08-25
2010-08-23,52.0,2010-10-14
2009-07-10,677.0,2011-05-18
2009-08-06,59.0,2009-10-04
2009-08-16,1759.0,2014-06-10
2011-04-12,3630.0,2021-03-20
2011-03-30,28.0,2011-04-27
2009-07-27,443.0,2010-10-13
2009-08-30,660.0,2011-06-21
2010-10-10,12.0,2010-10-22
2009-09-03,227.0,2010-04-18
2009-03-10,201.0,2009-09-27
2010-05-25,510.0,2011-10-17
2011-04-14,1221.0,2014-08-17
2009-10-12,,
2010-05-01,440.0,2011-07-15
2010-07-16,1108.0,2013-07-28
2009-10-19,8.0,2009-10-27
2010-10-18,21.0,2010-11-08
2009-10-31,225.0,2010-06-13
2010-10-07,70.0,2010-12-16
2011-04-19,79.0,2011-07-07
2011-04-21,45.0,2011-06-05
2009-10-31,36.0,2009-12-06
2010-10-26,20.0,2010-11-15
2009-11-14,204.0,2010-06-06
2010-08-12,117.0,2010-12-07
2011-04-21,87.0,2011-07-17
2009-11-20,11.0,2009-12-01
2011-04-23,16.0,2011-05-09
2010-10-30,228.0,2011-06-15
2009-11-21,22.0,2009-12-13
2010-10-31,205.0,2011-05-24
2011-03-26,910.0,2013-09-21
2009-02-03,425.0,2010-04-04
2011-03-01,111.0,2011-06-20
2010-11-01,7.0,2010-11-08
2009-12-03,30.0,2010-01-02
2010-09-01,243.0,2011-05-02
2009-12-04,1397.0,2013-10-01
2010-11-03,173.0,2011-04-25
2009-12-05,162.0,2010-05-16
2010-11-03,732.0,2012-11-04
2011-04-30,8.0,2011-05-08
2009-12-05,2300.0,2016-03-23
2011-05-02,16.0,2011-05-18
2009-12-16,276.0,2010-09-18
2011-05-02,19.0,2011-05-21
2010-11-10,47.0,2010-12-27
2010-08-17,762.0,2012-09-17
2009-12-16,17.0,2010-01-02
2009-12-19,1342.0,2013-08-22
2011-05-03,54.0,2011-06-26
2009-12-20,310.0,2010-10-26
2010-12-01,197.0,2011-06-16
2010-07-30,292.0,2011-05-18
2008-11-19,1364.0,2012-08-14
2010-11-17,302.0,2011-09-15
2010-05-20,283.0,2011-02-27
2010-03-26,256.0,2010-12-07
2009-12-26,7.0,2010-01-02
2010-11-19,154.0,2011-04-22
2012-07-29,-93.0,2012-04-27
2009-12-27,94.0,2010-03-31
2010-10-07,88.0,2011-01-03
2011-05-08,11.0,2011-05-19
2010-01-07,2552.0,2017-01-02
2011-05-10,1698.0,2016-01-02
2010-09-30,2929.0,2018-10-07
2010-01-12,619.0,2011-09-23
2010-11-20,24.0,2010-12-14
2010-11-20,296.0,2011-09-12
2009-06-28,580.0,2011-01-29
2010-07-26,321.0,2011-06-12
2010-01-20,418.0,2011-03-14
2010-01-15,2258.0,2016-03-22
2011-05-10,,
2010-11-29,233.0,2011-07-20
2010-01-24,151.0,2010-06-24
2010-12-01,19.0,2010-12-20
2010-12-09,185.0,2011-06-12
2010-01-29,21.0,2010-02-19
2011-05-08,15.0,2011-05-23
2010-12-01,94.0,2011-03-05
2010-02-09,230.0,2010-09-27
2010-11-22,,
2011-04-10,49.0,2011-05-29
2009-09-29,168.0,2010-03-16
2012-04-29,-188.0,2011-10-24
2010-02-18,3155.0,2018-10-09
2010-10-15,374.0,2011-10-24
2010-12-05,869.0,2013-04-22
2010-02-20,85.0,2010-05-16
2011-05-22,7.0,2011-05-29
2009-03-26,420.0,2010-05-20
2010-07-18,169.0,2011-01-03
2010-12-01,36.0,2011-01-06
2010-03-15,875.0,2012-08-06
2011-05-23,7.0,2011-05-30
2010-03-23,67.0,2010-05-29
2011-05-24,858.0,2013-09-28
2010-12-07,27.0,2011-01-03
2010-06-17,,
2010-04-08,1191.0,2013-07-12
2010-12-08,24.0,2011-01-01
2011-05-26,14.0,2011-06-09
2011-05-24,62.0,2011-07-25
2010-04-12,204.0,2010-11-02
2010-12-09,30.0,2011-01-08
2009-12-03,164.0,2010-05-16
2009-06-25,918.0,2011-12-30
2009-09-29,252.0,2010-06-08
2010-12-09,135.0,2011-04-23
2010-05-06,474.0,2011-08-23
2009-10-19,441.0,2011-01-03
2010-12-14,267.0,2011-09-07
2010-02-25,2724.0,2017-08-11
2011-06-01,1254.0,2014-11-06
2011-06-01,10.0,2011-06-11
2010-05-07,130.0,2010-09-14
2010-12-10,11.0,2010-12-21
2010-05-13,19.0,2010-06-01
2010-12-16,44.0,2011-01-29
2010-12-16,19.0,2011-01-04
2011-06-01,1210.0,2014-09-23
2011-06-04,127.0,2011-10-09
2009-09-03,334.0,2010-08-03
2011-06-04,438.0,2012-08-15
2010-05-18,19.0,2010-06-06
